Date,BAR_KWH_Main_Electric (kWh),BAR_PWR_Main_Electric (kW)
2015-12-04 09:45,13839.552000000142,235.008
2015-12-04 10:00,13898.30400000047,235.008
2015-12-04 10:15,13957.056000000797,235.008
2015-12-04 10:30,14015.808000000194,235.008
2015-12-04 10:45,14076.28800000064,241.92
2015-12-04 11:00,14136.768000000156,241.92
2015-12-04 11:15,14198.976000000723,248.832
2015-12-04 11:30,14261.184000000358,248.832
2015-12-04 11:45,14321.664000000805,241.92
2015-12-04 12:00,14383.87200000044,248.832
2015-12-04 12:15,14444.351999999955,241.92
2015-12-04 12:30,14506.560000000522,248.832
2015-12-04 12:45,14567.040000000037,241.92
2015-12-04 13:00,14629.248000000603,248.832
2015-12-04 13:15,14689.72800000012,241.92
2015-12-04 13:30,14750.208000000566,241.92
2015-12-04 13:45,14810.688000000082,241.92
2015-12-04 14:00,14872.896000000648,248.832
2015-12-04 14:15,14931.648000000045,235.008
2015-12-04 14:30,14992.128000000492,241.92
2015-12-04 14:45,15050.88000000082,235.008
2015-12-04 15:00,15111.360000000335,241.92
2015-12-04 15:15,15168.384000000544,228.096
2015-12-04 15:30,15227.13599999994,235.008
2015-12-04 15:45,15285.888000000268,235.008
2015-12-04 16:00,15344.640000000596,235.008
2015-12-04 16:15,15403.391999999993,235.008
2015-12-04 16:30,15462.14400000032,235.008
2015-12-04 16:45,15517.44000000041,221.184
2015-12-04 17:00,15574.464000000618,228.096
2015-12-04 17:15,15629.760000000708,221.184
2015-12-04 17:30,15681.600000000559,207.36
2015-12-04 17:45,15735.168000000529,214.272
2015-12-04 18:00,15788.7360000005,214.272
2015-12-04 18:15,15842.30400000047,214.272
2015-12-04 18:30,15894.14400000032,207.36
2015-12-04 18:45,15945.984000000171,207.36
2015-12-04 19:00,15997.824000000022,207.36
2015-12-04 19:15,16049.664000000805,207.36
2015-12-04 19:30,16099.776000000536,200.448
2015-12-04 19:45,16151.616000000387,207.36
2015-12-04 20:00,16203.456000000238,207.36
2015-12-04 20:15,16253.56799999997,200.448
2015-12-04 20:30,16303.680000000633,200.448
2015-12-04 20:45,16353.792000000365,200.448
2015-12-04 21:00,16403.904000000097,200.448
2015-12-04 21:15,16454.01600000076,200.448
2015-12-04 21:30,16504.12800000049,200.448
2015-12-04 21:45,16554.240000000224,200.448
2015-12-04 22:00,16580.16000000015,103.68
2015-12-04 22:15,16602.624000000767,89.856
2015-12-04 22:30,16625.088000000454,89.856
2015-12-04 22:45,16647.55200000014,89.856
2015-12-04 23:00,16668.28800000064,82.944
2015-12-04 23:15,16690.752000000328,89.856
2015-12-04 23:30,16711.488000000827,82.944
2015-12-04 23:45,16732.224000000395,82.944
2015-12-05 00:00,16752.959999999963,82.944
2015-12-05 00:15,16773.696000000462,82.944
2015-12-05 00:30,16792.704000000842,76.032
2015-12-05 00:45,16813.44000000041,82.944
2015-12-05 01:00,16834.175999999978,82.944
2015-12-05 01:15,16854.912000000477,82.944
2015-12-05 01:30,16873.920000000857,76.032
2015-12-05 01:45,16894.656000000425,82.944
2015-12-05 02:00,16913.664000000805,76.032
2015-12-05 02:15,16934.400000000373,82.944
2015-12-05 02:30,16955.13599999994,82.944
2015-12-05 02:45,16974.14400000032,76.032
2015-12-05 03:00,16993.1520000007,76.032
2015-12-05 03:15,17013.88800000027,82.944
2015-12-05 03:30,17032.89600000065,76.032
2015-12-05 03:45,17053.632000000216,82.944
2015-12-05 04:00,17072.640000000596,76.032
2015-12-05 04:15,17093.376000000164,82.944
2015-12-05 04:30,17112.384000000544,76.032
2015-12-05 04:45,17133.12000000011,82.944
2015-12-05 05:00,17152.12800000049,76.032
2015-12-05 05:15,17172.86400000006,82.944
2015-12-05 05:30,17191.87200000044,76.032
2015-12-05 05:45,17212.608000000007,82.944
2015-12-05 06:00,17231.616000000387,76.032
2015-12-05 06:15,17252.351999999955,82.944
2015-12-05 06:30,17271.360000000335,76.032
2015-12-05 06:45,17292.096000000834,82.944
2015-12-05 07:00,17311.104000000283,76.032
2015-12-05 07:15,17331.840000000782,82.944
2015-12-05 07:30,17350.84800000023,76.032
2015-12-05 07:45,17369.85600000061,76.032
2015-12-05 08:00,17413.056000000797,172.8
2015-12-05 08:15,17457.98400000017,179.712
2015-12-05 08:30,17504.640000000596,186.624
2015-12-05 08:45,17551.29600000009,186.624
2015-12-05 09:00,17597.952000000514,186.624
2015-12-05 09:15,17644.608000000007,186.624
2015-12-05 09:30,17691.264000000432,186.624
2015-12-05 09:45,17739.648000000045,193.536
2015-12-05 10:00,17788.03200000059,193.536
2015-12-05 10:15,17836.4160000002,193.536
